Dataset,Model,Measure,Drift Strength,Mean_Value,Std_Value
wikitext,nlpaueb/sec-bert-base,bhattacharyya,1.0,0.8599345882899655,0.15005756052506108
wikitext,nlpaueb/sec-bert-base,hellinger,0.0,0.7145516668185087,0.07025115891986192
wikitext,nlpaueb/sec-bert-base,hellinger,0.25,0.7083516014663694,0.032552724418968615
wikitext,nlpaueb/sec-bert-base,hellinger,0.5,0.7648898101641445,0.047196594663355816
wikitext,nlpaueb/sec-bert-base,hellinger,0.75,0.7806378840807754,0.02467101246518109
wikitext,nlpaueb/sec-bert-base,hellinger,1.0,0.7782833412460675,0.044413345093101485
wikitext,nlpaueb/sec-bert-base,js,0.0,0.3614090574814308,0.06286784346732331
wikitext,nlpaueb/sec-bert-base,js,0.25,0.3626898525616677,0.03428794962355879
wikitext,nlpaueb/sec-bert-base,js,0.5,0.4117258710742932,0.032544369270879885
wikitext,nlpaueb/sec-bert-base,js,0.75,0.4192236729749279,0.02554463553073002
wikitext,nlpaueb/sec-bert-base,js,1.0,0.4099817105796384,0.02438625806225208
wikitext,nlpaueb/sec-bert-base,kl,0.0,10.965945878315436,3.845291609473333
wikitext,nlpaueb/sec-bert-base,kl,0.25,11.455299298091113,2.320959700728928
wikitext,nlpaueb/sec-bert-base,kl,0.5,13.069177511188181,2.261365580557383
wikitext,nlpaueb/sec-bert-base,kl,0.75,13.043369504472748,1.566141692449163
wikitext,nlpaueb/sec-bert-base,kl,1.0,12.911050857118317,2.2895992712962787
wikitext,nlpaueb/sec-bert-base,mmd,0.0,0.13902481148640314,0.03796092708761018
wikitext,nlpaueb/sec-bert-base,mmd,0.25,0.15778392056624094,0.029510300550556368
wikitext,nlpaueb/sec-bert-base,mmd,0.5,0.1889562408129374,0.02334938214848233
wikitext,nlpaueb/sec-bert-base,mmd,0.75,0.209270179271698,0.023310977428905352
wikitext,nlpaueb/sec-bert-base,mmd,1.0,0.2156649281581243,0.025533673482371427
wikitext,nlpaueb/sec-bert-base,wasserstein,0.0,1.4743711988131205,0.6302034086620728
wikitext,nlpaueb/sec-bert-base,wasserstein,0.25,1.5983589575688046,0.6670266956222394
wikitext,nlpaueb/sec-bert-base,wasserstein,0.5,1.7486459668477377,0.6891047277169233
wikitext,nlpaueb/sec-bert-base,wasserstein,0.75,1.9086446158091226,0.6673953872887496
wikitext,nlpaueb/sec-bert-base,wasserstein,1.0,1.8936040898164113,0.6532113069071208
yelp_review_full,bert-base-uncased,bhattacharyya,0.0,2.1192783884452093,0.522550117502523
