batch,t_data,t_ipca,t_kll,throughput_sps,ipca_mem_delta,kll_mem_delta,pca_mse,kll_median_err,mode,kll_k,n_components,seed
40,0.0,0.009647999999288004,0.0,103648.4245515959,32768.0,0.0,0.9824674291912261,,pca,8,2,202
41,0.0,0.009066792001249269,0.0,110292.59299895872,32768.0,0.0,,,pca,8,2,202
42,0.0,0.012903791001008358,0.0,77496.60544888364,32768.0,0.0,,,pca,8,2,202
43,0.0,0.00995912500002305,0.0,100410.42762267624,32768.0,0.0,,,pca,8,2,202
44,0.0,0.008036958002776373,0.0,124425.18670055876,32768.0,0.0,,,pca,8,2,202
45,0.0,0.005262416998448316,0.0,190026.7501216383,32768.0,0.0,0.982481447465233,,pca,8,2,202
46,0.0,0.008334958001796622,0.0,119976.60933437786,32768.0,0.0,,,pca,8,2,202
47,0.0,0.009038708001753548,0.0,110635.28103861699,32768.0,0.0,,,pca,8,2,202
48,0.0,0.00823583300007158,0.0,121420.62618211281,32768.0,0.0,,,pca,8,2,202
49,0.0,0.009007374999782769,0.0,111020.13627989475,32768.0,0.0,,,pca,8,2,202
50,0.0,0.011226999999053078,0.0,89070.98958620676,32768.0,0.0,0.9824827571185109,,pca,8,2,202
51,0.0,0.006506583002192201,0.0,153690.50078406432,32768.0,0.0,,,pca,8,2,202
52,0.0,0.008264125001005596,0.0,121004.94606244678,49152.0,0.0,,,pca,8,2,202
53,0.0,0.006512457999633625,0.0,153551.85400907884,49152.0,0.0,,,pca,8,2,202
54,0.0,0.009944665998773417,0.0,100556.4189006791,49152.0,0.0,,,pca,8,2,202
55,0.0,0.012284084001294104,0.0,81406.15123558679,49152.0,0.0,0.9824776558529806,,pca,8,2,202
56,0.0,0.009998166999139357,0.0,100018.33336911457,49152.0,0.0,,,pca,8,2,202
57,0.0,0.008725416999368463,0.0,114607.70299830702,49152.0,0.0,,,pca,8,2,202
58,0.0,0.008818291000352474,0.0,113400.65778732288,49152.0,0.0,,,pca,8,2,202
59,0.0,0.008953499997005565,0.0,111688.16667609794,49152.0,0.0,,,pca,8,2,202
60,0.0,0.010710082999139559,0.0,93369.95801809747,49152.0,0.0,0.982495333332648,,pca,8,2,202
61,0.0,0.009750999997777399,0.0,102553.58427114508,49152.0,0.0,,,pca,8,2,202
62,0.0,0.010716957996919518,0.0,93310.06058691654,49152.0,0.0,,,pca,8,2,202
63,0.0,0.00757220800005598,0.0,132061.87679902706,49152.0,0.0,,,pca,8,2,202
64,0.0,0.00920520799991209,0.0,108634.15579632204,49152.0,0.0,,,pca,8,2,202
65,0.0,0.009537375000945758,0.0,104850.65334023634,49152.0,0.0,0.9824701793540698,,pca,8,2,202
66,0.0,0.008201584001653828,0.0,121927.6666310255,49152.0,0.0,,,pca,8,2,202
67,0.0,0.007151125002565095,0.0,139838.13730585075,49152.0,0.0,,,pca,8,2,202
68,0.0,0.009732333001011284,0.0,102750.28607180728,49152.0,0.0,,,pca,8,2,202
69,0.0,0.008673291002196493,0.0,115296.48892753075,49152.0,0.0,,,pca,8,2,202
70,0.0,0.008335750000696862,0.0,119965.21007904517,49152.0,0.0,0.9824778105799005,,pca,8,2,202
71,0.0,0.00938345900067361,0.0,106570.50879938975,49152.0,0.0,,,pca,8,2,202
72,0.0,0.009947167000063928,0.0,100531.13615098382,49152.0,0.0,,,pca,8,2,202
